iter	Passed	Remaining
404	8114	11921
405	8135	11901
406	8157	11885
407	8177	11865
408	8198	11846
409	8217	11825
410	8237	11805
411	8258	11786
412	8291	11784
413	8312	11765
414	8338	11754
415	8359	11735
416	8381	11717
417	8405	11703
418	8426	11684
419	8448	11666
420	8467	11645
421	8487	11624
422	8508	11606
423	8528	11585
424	8548	11565
425	8568	11545
426	8588	11525
427	8608	11505
428	8627	11483
429	8647	11462
430	8665	11439
431	8685	11419
432	8705	11399
433	8724	11377
434	8744	11358
435	8765	11338
436	8785	11318
437	8804	11297
438	8823	11276
439	8842	11253
440	8863	11234
441	8895	11229
442	8916	11211
443	8938	11193
444	8958	11172
445	8982	11157
446	9006	11142
447	9027	11122
448	9045	11100
449	9065	11079
450	9085	11059
451	9104	11038
452	9122	11015
453	9142	10994
454	9162	10974
455	9182	10954
456	9203	10935
457	9223	10915
458	9243	10894
459	9262	10873
460	9281	10851
461	9299	10828
462	9318	10807
463	9339	10788
464	9358	10767
465	9379	10748
466	9399	10727
467	9418	10706
468	9437	10685
469	9457	10664
470	9475	10641
471	9493	10620
472	9513	10599
473	9533	10579
474	9551	10557
475	9572	10537
476	9592	10517
477	9612	10497
478	9633	10478
479	9655	10460
480	9675	10439
481	9696	10420
482	9717	10401
483	9737	10381
484	9756	10360
485	9776	10340
486	9798	10321
487	9819	10301
488	9838	10281
489	9858	10260
490	9876	10239
491	9896	10218
492	9917	10199
493	9936	10178
494	9954	10155
495	9973	10134
496	9992	10113
497	10011	10092
498	10031	10071
499	10050	10050
500	10070	10029
501	10088	10007
502	10108	9987
503	10128	9967
504	10146	9946
505	10165	9924
506	10186	9905
507	10206	9884
508	10226	9864
509	10244	9842
510	10265	9823
511	10285	9803
512	10304	9782
513	10323	9761
514	10342	9740
515	10362	9719
516	10381	9698
517	10402	9679
518	10421	9658
519	10443	9639
520	10464	9620
521	10482	9599
522	10501	9577
523	10520	9556
524	10539	9535
525	10558	9514
526	10577	9493
527	10597	9473
528	10617	9453
529	10636	9432
530	10655	9411
531	10674	9389
532	10694	9370
533	10714	9350
534	10735	9330
535	10757	9312
536	10776	9291
537	10797	9272
538	10816	9250
539	10835	9229
540	10853	9208
541	10871	9186
542	10890	9165
543	10909	9144
544	10929	9125
545	10951	9105
546	10969	9084
547	10989	9064
548	11008	9043
549	11027	9022
550	11047	9002
551	11067	8981
552	11085	8960
553	11104	8939
554	11124	8919
555	11144	8899
556	11163	8878
557	11182	8858
558	11202	8837
559	11222	8817
560	11241	8796
561	11262	8777
562	11281	8756
563	11300	8736
564	11320	8715
565	11340	8695
566	11360	8675
567	11380	8655
568	11400	8635
569	11419	8614
570	11439	8594
571	11458	8573
572	11476	8552
573	11495	8531
574	11513	8510
575	11535	8491
576	11553	8470
577	11573	8449
578	11593	8429
579	11613	8409
580	11633	8390
581	11654	8370
582	11673	8349
583	11692	8329
584	11712	8308
585	11731	8288
586	11752	8268
587	11772	8249
588	11791	8228
589	11810	8207
590	11830	8187
591	11848	8166
592	11867	8145
593	11887	8124
594	11906	8104
595	11925	8083
596	11947	8065
597	11968	8045
598	11986	8024
599	12005	8003
600	12024	7983
601	12044	7962
602	12063	7942
603	12082	7921
604	12101	7901
605	12122	7881
606	12143	7862
607	12163	7842
608	12183	7822
609	12204	7802
610	12224	7782
611	12243	7761
612	12261	7740
613	12280	7720
614	12302	7701
615	12322	7681
616	12343	7662
617	12364	7642
618	12385	7623
619	12405	7603
620	12424	7582
621	12445	7563
622	12465	7543
623	12484	7522
624	12503	7502
625	12524	7482
626	12547	7464
627	12569	7445
628	12589	7425
629	12609	7405
630	12631	7386
631	12651	7366
632	12671	7346
633	12689	7325
634	12710	7306
635	12732	7287
636	12752	7267
637	12775	7248
638	12794	7228
639	12815	7208
640	12834	7187
641	12853	7167
642	12872	7146
643	12891	7126
644	12909	7105
645	12929	7085
646	12951	7066
647	12972	7046
648	12991	7026
649	13009	7005
650	13029	6985
651	13049	6965
652	13070	6945
653	13088	6924
654	13112	6906
655	13133	6886
656	13152	6866
657	13172	6846
658	13191	6825
659	13210	6805
660	13229	6784
661	13248	6764
662	13267	6743
663	13286	6723
664	13306	6703
665	13327	6683
666	13346	6663
667	13367	6643
668	13386	6623
669	13405	6602
670	13424	6582
671	13442	6561
672	13462	6541
673	13481	6520
674	13500	6500
675	13519	6479
676	13539	6459
677	13558	6439
678	13578	6419
679	13598	6399
680	13618	6379
681	13636	6358
682	13655	6337
683	13673	6317
684	13691	6296
685	13711	6276
686	13731	6256
687	13750	6235
688	13770	6215
689	13788	6194
690	13807	6174
691	13826	6154
692	13845	6133
693	13864	6113
694	13883	6092
695	13903	6072
696	13923	6052
697	13944	6033
698	13963	6013
699	13984	5993
700	14003	5972
701	14023	5953
702	14043	5933
703	14061	5912
704	14079	5891
705	14099	5871
706	14120	5851
707	14141	5832
708	14160	5811
709	14178	5791
710	14196	5770
711	14214	5749
712	14233	5729
713	14253	5709
714	14272	5689
715	14292	5668
716	14312	5649
717	14333	5629
718	14351	5609
719	14371	5588
720	14390	5568
721	14411	5548
722	14430	5528
723	14449	5508
724	14469	5488
725	14488	5468
726	14508	5448
727	14527	5427
728	14547	5407
729	14566	5387
730	14586	5367
731	14606	5347
