iter	MultiClass
0	1.4568531
1	1.229813398
2	1.06572347
3	0.9416742391
4	0.8467447998
5	0.7630701866
6	0.6922023121
7	0.6310487136
8	0.57901437
9	0.5335865307
10	0.4937939228
11	0.4584532672
12	0.4261314447
13	0.4034937396
14	0.3779179448
15	0.3566426117
16	0.335991283
17	0.3167727948
18	0.2997499491
19	0.2836949001
20	0.2701313421
21	0.2573940065
22	0.2477319436
23	0.2394805055
24	0.2314186373
25	0.2242466766
26	0.2169761967
27	0.2097770388
28	0.2013154966
29	0.1950494414
30	0.1899574187
31	0.1855017933
32	0.1808498758
33	0.1768346156
34	0.1732104003
35	0.1698749495
36	0.1672996557
37	0.1639182573
38	0.160311465
39	0.1577779945
40	0.1551560248
41	0.1518587046
42	0.1493669707
43	0.1470150545
44	0.1452140513
45	0.1430810081
46	0.1412064659
47	0.1395989558
48	0.1374539766
49	0.1356713351
50	0.1343664205
51	0.1331477069
52	0.1319080606
53	0.1304353098
54	0.1295260427
55	0.1283944328
56	0.1278145731
57	0.1265291145
58	0.1256023786
59	0.1248424112
60	0.1241311299
61	0.1232208892
62	0.1224755217
63	0.1215638657
64	0.1205999007
65	0.1196738784
66	0.1189454713
67	0.11847702
68	0.1176568858
69	0.1171909487
70	0.116575423
71	0.1158959579
72	0.1151417374
73	0.1148458121
74	0.1143627434
75	0.1140695265
76	0.1137670224
77	0.1132635292
78	0.1125894164
79	0.1120163024
80	0.1115347022
81	0.1110657689
82	0.110615041
83	0.1101448731
84	0.1095809738
85	0.1084275033
86	0.1080901808
87	0.1077487303
88	0.1073778787
89	0.1070559658
90	0.1064622511
91	0.1059697869
92	0.1056782625
93	0.1054287546
94	0.1050041714
95	0.1047298665
96	0.1044176793
97	0.1040453911
98	0.1036625126
99	0.1033706056
100	0.1029861615
101	0.1027029541
102	0.1023371373
103	0.102041026
104	0.1017556082
105	0.1015107447
106	0.1012156709
107	0.1009462304
108	0.1006499753
109	0.1003392734
110	0.1000628831
111	0.09988488721
112	0.09971460164
113	0.0994655366
114	0.0991863476
115	0.09875627627
116	0.09842155269
117	0.09819084681
118	0.09783435307
119	0.09749426893
120	0.09725570548
121	0.09696683316
122	0.09672832574
123	0.09651298257
124	0.09633105506
125	0.09616665291
126	0.09588964073
127	0.09545079054
128	0.09517257589
129	0.09493672752
130	0.09468227363
131	0.09442358684
132	0.09394019361
133	0.09353771846
134	0.09320761073
135	0.0930345681
136	0.09277904036
137	0.09259918264
138	0.0924484523
139	0.09228716041
140	0.09205213687
141	0.09189773672
142	0.09169612772
143	0.09138572662
144	0.09113350854
145	0.0908275372
146	0.0904696674
147	0.09016066193
148	0.08998660278
149	0.08985282982
150	0.08947524898
151	0.08932224353
152	0.08921598374
153	0.08907988772
154	0.0887961748
155	0.08856755693
156	0.08825016195
157	0.08809047773
158	0.08787336012
159	0.08770445499
160	0.08753496326
161	0.08742615425
162	0.08720639432
163	0.08697392929
164	0.08676131415
165	0.08654983884
166	0.08629359276
167	0.08611759278
168	0.0859318092
169	0.08566108925
170	0.08551331699
171	0.08542815514
172	0.08529178725
173	0.08518741543
174	0.08507440394
175	0.08490378361
176	0.08483799194
177	0.08462854909
178	0.08443708207
179	0.08436211823
180	0.08418001069
181	0.08405160688
182	0.08383092899
183	0.08362111214
184	0.08342641629
185	0.08330524688
186	0.08306376633
187	0.08296846162
188	0.08282533862
189	0.08274165104
190	0.08240649584
191	0.08221245367
192	0.08206952381
193	0.08196925452
194	0.0818565827
195	0.08168271846
196	0.08153788262
197	0.08135370639
198	0.08115132476
199	0.08067339017
200	0.08042782164
201	0.08029901322
202	0.0800451436
203	0.07995894605
204	0.07984325946
205	0.07970806373
206	0.07936683911
207	0.07928351301
208	0.07919206594
209	0.07909013578
210	0.07889610416
211	0.07864910436
212	0.0784679594
213	0.07838795709
214	0.07824738272
215	0.07781347254
216	0.07760887575
217	0.07750186381
218	0.07740418834
219	0.07709300209
220	0.07701615537
221	0.07692257464
222	0.07668735979
223	0.07660209705
224	0.07639926772
225	0.07627716723
226	0.07611453129
227	0.07595574367
228	0.07577422512
229	0.07569271245
230	0.07548482311
231	0.07534888079
232	0.075191299
233	0.07506105308
234	0.07477441671
235	0.07459817838
236	0.07427346903
237	0.07419773792
238	0.07401144842
239	0.07388724312
240	0.07376252724
241	0.07366759916
242	0.07360758916
243	0.07350062071
244	0.07324615223
245	0.07312256273
246	0.07294163375
247	0.07276259148
248	0.07262666513
249	0.07253454713
250	0.0724035309
251	0.07226559177
252	0.07205093383
253	0.07162294226
254	0.07155093489
255	0.07143574028
256	0.07132892568
257	0.07122309203
258	0.07107772455
259	0.07100719576
260	0.07086524315
261	0.07070429124
262	0.07063471316
263	0.07052338115
264	0.0704310575
265	0.07030196489
266	0.07016086757
267	0.07006249561
268	0.0700031175
269	0.06982707764
270	0.06976670999
271	0.0695467785
272	0.06943223445
273	0.06931940678
274	0.06922206175
275	0.0690053761
276	0.06886773925
277	0.06873999101
278	0.06854700118
279	0.06844111511
280	0.06835468794
281	0.06819238193
282	0.06813873255
283	0.06797881272
284	0.06787451571
285	0.06773531305
286	0.06752457983
287	0.06723274021
288	0.06719428257
289	0.0670049715
290	0.06687751903
291	0.06678092964
292	0.06662978696
293	0.06651563587
294	0.0663277908
295	0.06619986732
296	0.06613447548
297	0.06598822755
298	0.06579514448
299	0.06571224686
300	0.06557624334
301	0.06544520284
302	0.065308651
303	0.06517248383
304	0.0650732487
305	0.06497219419
306	0.06487818731
307	0.06478850045
308	0.06463576362
309	0.0644784522
310	0.06437938687
311	0.06432781702
312	0.06422842608
313	0.06411348532
314	0.06404353357
315	0.06391371182
316	0.06379169184
317	0.06370570017
318	0.06358106333
319	0.06345448403
320	0.06338073184
321	0.0632785437
322	0.06307038202
323	0.06296940982
324	0.06282957876
325	0.06271489765
326	0.062636767
327	0.06255810811
328	0.06242748525
329	0.06238691473
330	0.06222300226
331	0.06213922407
332	0.06201314861
333	0.06195495021
334	0.06191086139
335	0.06177249442
336	0.06168226427
337	0.06162276383
338	0.06153229967
339	0.06143308845
340	0.06140169412
341	0.06111721805
342	0.0610688856
343	0.06095364776
344	0.06088997324
345	0.06073886501
346	0.06055614873
347	0.06041911956
348	0.06014039167
349	0.05999318053
350	0.05986737998
351	0.05973703863
352	0.05968870374
353	0.05960830294
354	0.05952240672
355	0.05947174903
356	0.05938884996
357	0.05908901769
358	0.0590466042
359	0.05897407888
360	0.05880949688
361	0.05869009087
362	0.05864180503
363	0.05852045289
364	0.05837069308
365	0.0583049388
366	0.05821531602
367	0.05808964463
368	0.05784577184
369	0.05777951637
370	0.05764838599
371	0.05752286313
372	0.05734931944
373	0.05727833786
374	0.05720931547
375	0.05713340427
376	0.05704667507
377	0.05694898616
378	0.05690180838
379	0.05674259219
380	0.05664638176
381	0.05656547728
382	0.05641580768
383	0.05631141964
384	0.05629080472
385	0.05619681184
386	0.0561172297
387	0.05598611985
388	0.05586729021
389	0.05584672057
390	0.05574342309
391	0.05565278473
392	0.05552887029
393	0.05547206758
394	0.0553477924
395	0.0552381768
396	0.05515006805
397	0.05504723314
398	0.05497783793
399	0.05484225845
400	0.05473320418
401	0.05466629797
402	0.05460904308
403	0.05451552442
404	0.05448819864
405	0.05434511991
406	0.05425563701
407	0.05409859413
408	0.05401031125
409	0.0539742003
410	0.05390286232
411	0.05388028746
412	0.0537874998
413	0.05369695277
414	0.0536284573
415	0.05353694068
416	0.0534575849
417	0.05339373944
418	0.05329166652
419	0.05322368815
420	0.05318986783
421	0.05307856921
422	0.05295827736
423	0.05289676306
424	0.05282024308
425	0.05272781887
426	0.05262398819
427	0.05257048407
428	0.05246659931
429	0.05238990696
430	0.05230023323
431	0.05222799019
432	0.05214131753
433	0.05210382099
434	0.05204443713
435	0.05199809883
436	0.05192715338
437	0.05175733607
438	0.0517287988
439	0.05166214821
440	0.0515615574
441	0.0514977065
442	0.05145662373
443	0.05138645168
444	0.05127980089
445	0.05118328518
446	0.05107990648
447	0.05097131935
448	0.0509071943
449	0.05088252592
450	0.05084421081
451	0.05075785574
452	0.0506853808
453	0.0505777733
454	0.05046119959
455	0.0503176933
456	0.05025842485
457	0.05012305254
458	0.05009405632
459	0.0500006548
460	0.04994731238
461	0.04991121051
462	0.04983614817
463	0.04975273834
464	0.04967428986
465	0.04944524187
466	0.04940523673
467	0.04938003016
468	0.04921486191
469	0.04917047763
470	0.04912331098
471	0.04905456698
472	0.04898226889
473	0.0487540846
474	0.04861536586
475	0.04856972159
476	0.04848965627
477	0.04840821244
478	0.04831684419
479	0.04826380637
480	0.04819721936
481	0.04810386541
482	0.04802916058
483	0.04795851132
484	0.04786319776
485	0.04778937565
486	0.04769600238
487	0.04765609242
488	0.04759256787
489	0.04752417057
490	0.04749465151
491	0.047419955
492	0.04728507913
493	0.04719632074
494	0.04711258342
495	0.04705241842
496	0.04700846388
497	0.04697140616
498	0.04693368041
499	0.04686120712
500	0.04684528694
501	0.04679098712
502	0.04673259146
503	0.04666555368
504	0.04654970019
505	0.04647671739
506	0.04641784981
507	0.04623460046
508	0.04618474684
509	0.04616451267
510	0.04602220974
511	0.04596921287
512	0.04593014557
513	0.04585219631
514	0.0458237164
515	0.0457826686
516	0.04566689868
517	0.04558937743
518	0.04553782607
519	0.04551542946
520	0.04541930403
521	0.04536086879
522	0.04516324866
523	0.04510056143
524	0.04505165331
525	0.04497959325
526	0.04488671859
527	0.0448482019
528	0.04479461058
529	0.04467973633
530	0.04461038127
531	0.04456480589
532	0.04453392453
533	0.04441021277
534	0.04438868927
535	0.04434175551
536	0.04432768194
537	0.04431292395
538	0.04426189535
539	0.04420262802
540	0.044164582
541	0.04411605029
542	0.04401553132
543	0.04389008155
544	0.0438329925
545	0.04380825659
546	0.04377351357
547	0.04372196841
548	0.04368306279
549	0.04364891313
550	0.04353189427
551	0.04341846201
552	0.04340675849
553	0.04333379573
554	0.04331849229
555	0.04326014458
556	0.04322565276
557	0.04318447041
558	0.04308453385
559	0.04302205156
560	0.04300179107
561	0.04293790727
562	0.04289711629
563	0.04281070936
564	0.04261928873
565	0.04251408889
566	0.04247521374
567	0.04235713058
568	0.04228239977
569	0.04223386338
570	0.04220704442
571	0.04216004458
572	0.04208883785
573	0.04195817651
574	0.04189594927
575	0.0418069589
576	0.04172786612
577	0.04165284464
578	0.0416003219
579	0.04155714759
580	0.04147479477
581	0.0414385011
582	0.04138179034
583	0.04135690699
584	0.04131522048
585	0.04127504428
586	0.0412471537
587	0.04118759062
588	0.04113774964
589	0.04110136716
590	0.04103636515
591	0.04095682494
592	0.04090526427
593	0.04074807187
594	0.04070026933
595	0.040631362
596	0.04060886111
597	0.04056259109
598	0.04054520745
599	0.04045755274
600	0.04042405682
601	0.04035289302
602	0.04027519575
603	0.04022498712
604	0.04014601699
605	0.04010724665
606	0.03996800364
607	0.03990274747
608	0.03986594785
609	0.03980450509
610	0.03977454337
611	0.03973696475
612	0.03967344744
613	0.03961111404
614	0.03957416066
615	0.03950168518
616	0.03945390466
617	0.03940583509
618	0.03935722976
619	0.03927348713
620	0.03921847745
621	0.03915537336
622	0.03913122529
623	0.03910823373
624	0.03905599542
625	0.03899296222
626	0.03894811037
627	0.03890139903
628	0.03884074622
629	0.0388225263
630	0.03876014909
631	0.03870300776
632	0.03867145333
633	0.03864972911
634	0.03860719984
635	0.03854420504
636	0.03851466089
637	0.03845862368
638	0.03842861194
639	0.03836337704
640	0.03831383266
641	0.03824463833
642	0.0382097752
643	0.03813078567
644	0.03806542297
645	0.03802079879
646	0.03797974887
647	0.03796002802
648	0.03789944535
649	0.03787884119
650	0.03786324709
651	0.03781690159
652	0.03773391247
653	0.03769056256
654	0.03761833713
655	0.03758779138
656	0.03754914159
657	0.03753265982
658	0.03746164119
659	0.03736522747
660	0.0373357682
661	0.03729114178
662	0.03726107803
663	0.03722762751
664	0.0371376329
665	0.03705938327
666	0.03700702994
667	0.03689035631
668	0.03682148748
669	0.03663496735
670	0.03656733977
671	0.03652365759
672	0.03647507006
673	0.03640208587
674	0.03636553365
675	0.03623941066
676	0.03620786921
677	0.0361649861
678	0.0360785789
679	0.03603157329
680	0.0360230836
681	0.03597182876
682	0.0359548649
683	0.03590388727
684	0.03580297564
685	0.03577503714
686	0.03572068376
687	0.03570390343
688	0.03565467404
689	0.0355978686
690	0.03552865389
691	0.03546977361
692	0.03542290924
693	0.03539450556
694	0.03537372049
695	0.0353429825
696	0.03529325206
697	0.03524007662
698	0.03521487507
699	0.03515574076
700	0.03512821769
701	0.03507579435
702	0.03503336373
703	0.03500684062
704	0.03497101501
705	0.03490327037
706	0.03485313059
707	0.03478993575
708	0.03476381668
709	0.03471093512
710	0.034641722
711	0.03460261267
712	0.03454810502
713	0.03447810015
714	0.03444661561
715	0.0344199905
716	0.03440032901
717	0.0342854544
718	0.03424300188
719	0.03410797967
720	0.03405408021
721	0.03401429279
722	0.03400052345
723	0.03397683983
724	0.03395380707
725	0.03385195532
726	0.03374019575
727	0.03367548549
728	0.03365050899
729	0.03360265819
730	0.03358178894
731	0.0335544656
732	0.03350767809
733	0.03342040096
734	0.03338260901
735	0.0333660145
736	0.0333205042
737	0.03325428367
738	0.03322095534
739	0.03319066346
740	0.03306380523
741	0.03296428447
742	0.03292630905
743	0.03290578572
744	0.03287617906
745	0.03284048618
746	0.03281029333
747	0.03278132622
